"EMAIL","COMPANY","SUBJECT_LINE","EMAIL_BODY"
"hello@cosycraft.club","Cosy Craft Club","Video concept for Cosy Craft Club","Hello! I came across Cosy Craft Club and your craft kit subscription boxes really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Cosy Craft Club.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"adam@craftboxclub.co.uk","Craft Box Club","Video concept for Craft Box Club","Hello! I came across Craft Box Club and your eco-friendly craft kit subscription really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Craft Box Club.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"info@sewinspiringUK.co.uk","Sew Inspiring UK","Video concept for Sew Inspiring UK","Hello! I came across Sew Inspiring UK and your sewing & haberdashery supplies, modern cross stitch kits really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Sew Inspiring UK.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"info@truesouthpuzzlecompany.com","True South Puzzle Co.","Video concept for True South Puzzle Co.","Hello! I came across True South Puzzle Co. and your jigsaw puzzles really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for True South Puzzle Co..<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"support@apostrophepuzzles.com","Apostrophe Puzzles","Video concept for Apostrophe Puzzles","Hello! I came across Apostrophe Puzzles and your jigsaw puzzles featuring contemporary artists of color really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Apostrophe Puzzles.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"help@whiled.co","Whiled","Video concept for Whiled","Hello! I came across Whiled and your artful jigsaw puzzles really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Whiled.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"castmessage@viridiandice.com","Viridian Dice","Video concept for Viridian Dice","Hello! I came across Viridian Dice and your ttrpg / d&d dice sets and gaming accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Viridian Dice.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Support@KrakenDice.com","Kraken Dice","Video concept for Kraken Dice","Hello! I came across Kraken Dice and your resin/metal dice sets and tabletop accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Kraken Dice.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"contact@artisandice.com","Artisan Dice","Video concept for Artisan Dice","Hello! I came across Artisan Dice and your handcrafted wooden dice really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Artisan Dice.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"service@dieharddice.com","Die Hard Dice","Video concept for Die Hard Dice","Hello! I came across Die Hard Dice and your ttrpg dice sets and gaming accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Die Hard Dice.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hello@pieceworkpuzzles.com","Piecework Puzzles","Video concept for Piecework Puzzles","Hello! I came across Piecework Puzzles and your jigsaw puzzles really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Piecework Puzzles.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"contact@puzzlehuddle.com","Puzzle Huddle","Video concept for Puzzle Huddle","Hello! I came across Puzzle Huddle and your puzzles and children's products really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Puzzle Huddle.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hi@betterco.com","BetterCo.","Video concept for BetterCo.","Hello! I came across BetterCo. and your modern art jigsaw puzzles really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for BetterCo..<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hello@wearebrainstorm.com","Brainstorm Puzzle Co.","Video concept for Brainstorm Puzzle Co.","Hello! I came across Brainstorm Puzzle Co. and your jigsaw puzzles really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Brainstorm Puzzle Co..<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Info@franksboots.com","Frank's Boots","Video concept for Frank's Boots","Hello! I came across Frank's Boots and your handmade leather work boots really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Frank's Boots.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"dave@pipersandals.com","Piper Sandal Company","Video concept for Piper Sandal Company","Hello! I came across Piper Sandal Company and your handmade leather sandals really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Piper Sandal Company.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"support@milwaukeebootcompany.com","Milwaukee Boot Company","Video concept for Milwaukee Boot Company","Hello! I came across Milwaukee Boot Company and your handmade leather work boots really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Milwaukee Boot Company.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"office@paulbondboots.com","Paul Bond Boots","Video concept for Paul Bond Boots","Hello! I came across Paul Bond Boots and your custom handmade cowboy boots really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Paul Bond Boots.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"montecito@shop-jamiehaller.com","Jamie Haller","Video concept for Jamie Haller","Hello! I came across Jamie Haller and your handmade leather loafers & boat shoes really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Jamie Haller.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"orders@whitesboots.com","White's Boots","Video concept for White's Boots","Hello! I came across White's Boots and your handmade leather work boots really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for White's Boots.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"customerservice@espiritu.com","Espiritu","Video concept for Espiritu","Hello! I came across Espiritu and your handwoven huarache leather sandals really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Espiritu.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"holla@blackstockandweber.com","Blackstock & Weber","Video concept for Blackstock & Weber","Hello! I came across Blackstock & Weber and your handcrafted leather loafers & sneakers really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Blackstock & Weber.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"contact@trumanboot.com","Truman Boot Co.","Video concept for Truman Boot Co.","Hello! I came across Truman Boot Co. and your handmade leather work & casual boots really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Truman Boot Co..<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"info@aurorashoeco.com","Aurora Shoe Co.","Video concept for Aurora Shoe Co.","Hello! I came across Aurora Shoe Co. and your handmade minimalist leather shoes & moccasins really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Aurora Shoe Co..<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"sentinelgolfusa@gmail.com","Sentinel Golf","Video concept for Sentinel Golf","Hello! I came across Sentinel Golf and your golf apparel & outdoor gear really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Sentinel Golf.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"help@soundergolf.com","Sounder Golf","Video concept for Sounder Golf","Hello! I came across Sounder Golf and your golf apparel & accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Sounder Golf.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hello@macadegolf.com","Macade Golf","Video concept for Macade Golf","Hello! I came across Macade Golf and your contemporary golf apparel really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Macade Golf.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"contact@reinlandgolfco.com","Reinland Golf Co.","Video concept for Reinland Golf Co.","Hello! I came across Reinland Golf Co. and your handmade golf headcovers & accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Reinland Golf Co..<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"info@ashergolf.com","Asher Golf","Video concept for Asher Golf","Hello! I came across Asher Golf and your golf gloves & apparel really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Asher Golf.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"caddie@northcoastgolfco.com","North Coast Golf Co.","Video concept for North Coast Golf Co.","Hello! I came across North Coast Golf Co. and your golf gloves & apparel really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for North Coast Golf Co..<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
